SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"EICHERMOT","7,680.00","7,720.00","7,648.00","7,628.00","7,685.00","-","57","0.75","25828","19.84","8,230.00","5,353.00","1.07","41.35"
"MAXHEALTH","1,086.90","1,107.30","1,085.40","1,080.40","1,107.00","-","26.6","2.46","172576","19.00","1,301.70","903.00","-1.62","-13.69"
"NESTLEIND","1,451.00","1,461.50","1,444.50","1,443.50","1,453.40","-","9.9","0.69","127710","18.59","1,510.00","1,084.70","3.63","27.8"
"TRENT","2,918.90","2,928.50","2,907.10","2,890.50","2,920.80","-","30.3","1.05","59168","17.27","3,782.67","2,183.67","-9.18","-13.12"
"APOLLOHOSP","8,816.00","8,849.50","8,794.50","8,805.50","8,810.00","-","4.5","0.05","17722","15.62","9,009.00","6,696.50","2.52","17.94"
"DRREDDY","1,154.70","1,159.30","1,147.20","1,151.70","1,154.10","-","2.4","0.21","135124","15.57","1,414.90","1,101.00","-14.62","-9.77"
"COALINDIA","429.50","430.50","425.75","427.40","427.40","-","0","0","352849","15.09","491.25","368.65","-1.84","12.24"
"BAJAJFINSV","1,885.00","1,906.50","1,885.00","1,876.70","1,900.60","-","23.9","1.27","77165","14.66","2,195.00","1,597.00","7.74","-4.27"
"TMPV","326.75","327.80","326.30","323.80","327.05","-","3.25","1","432094","14.13","739.70","294.30","-7.36","-52.4"
"POWERGRID","288.30","290.55","288.20","288.20","288.70","-","0.5","0.17","416584","12.05","324.95","250.00","1.76","-1.1"
"CIPLA","1,412.60","1,418.10","1,409.50","1,410.60","1,413.10","-","2.5","0.18","80646","11.40","1,673.00","1,165.70","-1.81","-7.73"
"JSWSTEEL","1,251.00","1,251.00","1,241.60","1,240.80","1,243.40","-","2.6","0.21","76188","9.48","1,328.00","1,017.40","1","21.07"
"SBILIFE","1,860.00","1,867.80","1,846.50","1,858.60","1,851.50","-","-7.1","-0.38","49322","9.16","2,132.00","1,700.40","6.11","1.06"
"HDFCLIFE","555.95","558.25","552.35","555.05","557.05","-","2","0.36","112108","6.23","815.00","543.00","-4.93","-26.99"
"GRASIM","3,100.00","3,110.10","3,086.10","3,089.40","3,099.00","-","9.6","0.31","11031","3.42","3,246.00","2,502.50","-0.91","14.38"
